onboarding_task_id,employee_id,task_name,task_category,current_stage,task_status,due_date,completed_date,completion_percentage
ONB00871,10311,Tool Access Verification,IT,Enablement,Complete,2018-07-19,2018-07-17,100.0
ONB00872,10311,First Week Check-in,Manager,Enablement,Complete,2018-07-19,2018-07-19,100.0
ONB00873,10311,30-Day Onboarding Review,Manager,Productive,In Progress,2018-08-08,,92.0
ONB00874,10070,Complete HR Documentation,HR,Preboarding,In Progress,2011-05-19,,88.0
ONB00875,10070,Submit Required Identification,HR,Preboarding,Complete,2011-05-18,2011-05-17,100.0
ONB00876,10070,Complete New Hire Orientation,HR,Orientation,Complete,2011-05-23,2011-05-22,100.0
ONB00877,10070,Manager Introduction,Manager,Orientation,In Progress,2011-05-21,,51.0
ONB00878,10070,Laptop Provisioning,IT,Setup,In Progress,2011-05-23,,92.0
ONB00879,10070,Network Account Setup,IT,Setup,Overdue,2011-05-21,,14.0
ONB00880,10070,Email and Collaboration Access,IT,Setup,Complete,2011-05-21,2011-05-24,100.0
ONB00881,10070,Security Awareness Training,Compliance,Enablement,Complete,2011-05-28,2011-05-27,100.0
ONB00882,10070,Company Policy Training,Compliance,Enablement,Not Started,2011-05-26,,0.0
ONB00883,10070,Role-Specific Training,Role-specific,Enablement,Complete,2011-06-05,2011-05-30,100.0
ONB00884,10070,Department Process Training,Role-specific,Enablement,Complete,2011-05-31,2011-05-29,100.0
ONB00885,10070,Tool Access Verification,IT,Enablement,Complete,2011-05-26,2011-05-28,100.0
ONB00886,10070,First Week Check-in,Manager,Enablement,In Progress,2011-05-26,,63.0
ONB00887,10070,30-Day Onboarding Review,Manager,Productive,Not Started,2011-06-15,,0.0
ONB00888,10155,Complete HR Documentation,HR,Preboarding,Complete,2012-01-12,2012-01-11,100.0
ONB00889,10155,Submit Required Identification,HR,Preboarding,In Progress,2012-01-11,,31.0
ONB00890,10155,Complete New Hire Orientation,HR,Orientation,Complete,2012-01-16,2012-01-13,100.0
ONB00891,10155,Manager Introduction,Manager,Orientation,Complete,2012-01-14,2012-01-17,100.0
ONB00892,10155,Laptop Provisioning,IT,Setup,Complete,2012-01-16,2012-01-18,100.0
ONB00893,10155,Network Account Setup,IT,Setup,Complete,2012-01-14,2012-01-17,100.0
ONB00894,10155,Email and Collaboration Access,IT,Setup,Complete,2012-01-14,2012-01-15,100.0
ONB00895,10155,Security Awareness Training,Compliance,Enablement,Complete,2012-01-21,2012-01-18,100.0
ONB00896,10155,Company Policy Training,Compliance,Enablement,Complete,2012-01-19,2012-01-11,100.0
ONB00897,10155,Role-Specific Training,Role-specific,Enablement,Blocked,2012-01-29,,57.0
ONB00898,10155,Department Process Training,Role-specific,Enablement,Complete,2012-01-24,2012-01-14,100.0
ONB00899,10155,Tool Access Verification,IT,Enablement,Overdue,2012-01-19,,78.0
ONB00900,10155,First Week Check-in,Manager,Enablement,In Progress,2012-01-19,,19.0
ONB00901,10155,30-Day Onboarding Review,Manager,Productive,Complete,2012-02-08,2012-02-05,100.0
ONB00902,10306,Complete HR Documentation,HR,Preboarding,Blocked,2014-10-02,,65.0
ONB00903,10306,Submit Required Identification,HR,Preboarding,Complete,2014-10-01,2014-10-02,100.0
ONB00904,10306,Complete New Hire Orientation,HR,Orientation,In Progress,2014-10-06,,58.0
ONB00905,10306,Manager Introduction,Manager,Orientation,Complete,2014-10-04,2014-10-06,100.0
ONB00906,10306,Laptop Provisioning,IT,Setup,Complete,2014-10-06,2014-10-02,100.0
ONB00907,10306,Network Account Setup,IT,Setup,Overdue,2014-10-04,,40.0
ONB00908,10306,Email and Collaboration Access,IT,Setup,Complete,2014-10-04,2014-10-05,100.0
ONB00909,10306,Security Awareness Training,Compliance,Enablement,In Progress,2014-10-11,,90.0
ONB00910,10306,Company Policy Training,Compliance,Enablement,Complete,2014-10-09,2014-10-07,100.0
ONB00911,10306,Role-Specific Training,Role-specific,Enablement,Complete,2014-10-19,2014-10-05,100.0
ONB00912,10306,Department Process Training,Role-specific,Enablement,Complete,2014-10-14,2014-10-12,100.0
ONB00913,10306,Tool Access Verification,IT,Enablement,Blocked,2014-10-09,,63.0
ONB00914,10306,First Week Check-in,Manager,Enablement,Complete,2014-10-09,2014-10-11,100.0
ONB00915,10306,30-Day Onboarding Review,Manager,Productive,Complete,2014-10-29,2014-10-20,100.0
ONB00916,10100,Complete HR Documentation,HR,Preboarding,Blocked,2011-04-07,,10.0
ONB00917,10100,Submit Required Identification,HR,Preboarding,Overdue,2011-04-06,,75.0
ONB00918,10100,Complete New Hire Orientation,HR,Orientation,Complete,2011-04-11,2011-04-08,100.0
ONB00919,10100,Manager Introduction,Manager,Orientation,Complete,2011-04-09,2011-04-06,100.0
ONB00920,10100,Laptop Provisioning,IT,Setup,Complete,2011-04-11,2011-04-05,100.0
ONB00921,10100,Network Account Setup,IT,Setup,Complete,2011-04-09,2011-04-05,100.0
ONB00922,10100,Email and Collaboration Access,IT,Setup,Complete,2011-04-09,2011-04-12,100.0
ONB00923,10100,Security Awareness Training,Compliance,Enablement,Complete,2011-04-16,2011-04-13,100.0
ONB00924,10100,Company Policy Training,Compliance,Enablement,Complete,2011-04-14,2011-04-15,100.0
ONB00925,10100,Role-Specific Training,Role-specific,Enablement,In Progress,2011-04-24,,18.0
ONB00926,10100,Department Process Training,Role-specific,Enablement,Blocked,2011-04-19,,47.0
ONB00927,10100,Tool Access Verification,IT,Enablement,Complete,2011-04-14,2011-04-11,100.0
ONB00928,10100,First Week Check-in,Manager,Enablement,Complete,2011-04-14,2011-04-13,100.0
ONB00929,10100,30-Day Onboarding Review,Manager,Productive,Complete,2011-05-04,2011-05-03,100.0
ONB00930,10310,Complete HR Documentation,HR,Preboarding,Complete,2014-07-10,2014-07-09,100.0
ONB00931,10310,Submit Required Identification,HR,Preboarding,In Progress,2014-07-09,,78.0
ONB00932,10310,Complete New Hire Orientation,HR,Orientation,Complete,2014-07-14,2014-07-10,100.0
ONB00933,10310,Manager Introduction,Manager,Orientation,Complete,2014-07-12,2014-07-14,100.0
ONB00934,10310,Laptop Provisioning,IT,Setup,Complete,2014-07-14,2014-07-16,100.0
ONB00935,10310,Network Account Setup,IT,Setup,Complete,2014-07-12,2014-07-13,100.0
ONB00936,10310,Email and Collaboration Access,IT,Setup,Complete,2014-07-12,2014-07-14,100.0
ONB00937,10310,Security Awareness Training,Compliance,Enablement,In Progress,2014-07-19,,31.0
ONB00938,10310,Company Policy Training,Compliance,Enablement,Complete,2014-07-17,2014-07-12,100.0
ONB00939,10310,Role-Specific Training,Role-specific,Enablement,Complete,2014-07-27,2014-07-24,100.0
ONB00940,10310,Department Process Training,Role-specific,Enablement,Complete,2014-07-22,2014-07-24,100.0
ONB00941,10310,Tool Access Verification,IT,Enablement,Complete,2014-07-17,2014-07-12,100.0
ONB00942,10310,First Week Check-in,Manager,Enablement,Complete,2014-07-17,2014-07-14,100.0
ONB00943,10310,30-Day Onboarding Review,Manager,Productive,Complete,2014-08-06,2014-08-02,100.0
ONB00944,10197,Complete HR Documentation,HR,Preboarding,Complete,2017-02-18,2017-02-19,100.0
ONB00945,10197,Submit Required Identification,HR,Preboarding,Complete,2017-02-17,2017-02-18,100.0
ONB00946,10197,Complete New Hire Orientation,HR,Orientation,Complete,2017-02-22,2017-02-22,100.0
ONB00947,10197,Manager Introduction,Manager,Orientation,Complete,2017-02-20,2017-02-22,100.0
ONB00948,10197,Laptop Provisioning,IT,Setup,Complete,2017-02-22,2017-02-20,100.0
ONB00949,10197,Network Account Setup,IT,Setup,Complete,2017-02-20,2017-02-23,100.0
ONB00950,10197,Email and Collaboration Access,IT,Setup,Complete,2017-02-20,2017-02-17,100.0
ONB00951,10197,Security Awareness Training,Compliance,Enablement,In Progress,2017-02-27,,77.0
ONB00952,10197,Company Policy Training,Compliance,Enablement,In Progress,2017-02-25,,34.0
ONB00953,10197,Role-Specific Training,Role-specific,Enablement,Complete,2017-03-07,2017-02-20,100.0
ONB00954,10197,Department Process Training,Role-specific,Enablement,Complete,2017-03-02,2017-03-02,100.0
ONB00955,10197,Tool Access Verification,IT,Enablement,Complete,2017-02-25,2017-02-18,100.0
ONB00956,10197,First Week Check-in,Manager,Enablement,Overdue,2017-02-25,,56.0
ONB00957,10197,30-Day Onboarding Review,Manager,Productive,Complete,2017-03-17,2017-03-20,100.0
ONB00958,10276,Complete HR Documentation,HR,Preboarding,In Progress,2014-05-15,,57.0
ONB00959,10276,Submit Required Identification,HR,Preboarding,Complete,2014-05-14,2014-05-14,100.0
ONB00960,10276,Complete New Hire Orientation,HR,Orientation,Complete,2014-05-19,2014-05-18,100.0
ONB00961,10276,Manager Introduction,Manager,Orientation,Overdue,2014-05-17,,30.0
ONB00962,10276,Laptop Provisioning,IT,Setup,Complete,2014-05-19,2014-05-17,100.0
ONB00963,10276,Network Account Setup,IT,Setup,Not Started,2014-05-17,,0.0
ONB00964,10276,Email and Collaboration Access,IT,Setup,Complete,2014-05-17,2014-05-17,100.0
ONB00965,10276,Security Awareness Training,Compliance,Enablement,Complete,2014-05-24,2014-05-17,100.0
ONB00966,10276,Company Policy Training,Compliance,Enablement,Complete,2014-05-22,2014-05-21,100.0
ONB00967,10276,Role-Specific Training,Role-specific,Enablement,Complete,2014-06-01,2014-05-17,100.0
ONB00968,10276,Department Process Training,Role-specific,Enablement,In Progress,2014-05-27,,58.0
ONB00969,10276,Tool Access Verification,IT,Enablement,Complete,2014-05-22,2014-05-23,100.0
ONB00970,10276,First Week Check-in,Manager,Enablement,Complete,2014-05-22,2014-05-25,100.0
ONB00971,10276,30-Day Onboarding Review,Manager,Productive,Overdue,2014-06-11,,14.0
ONB00972,10304,Complete HR Documentation,HR,Preboarding,Overdue,2012-02-23,,29.0
ONB00973,10304,Submit Required Identification,HR,Preboarding,Complete,2012-02-22,2012-02-21,100.0
ONB00974,10304,Complete New Hire Orientation,HR,Orientation,In Progress,2012-02-27,,33.0
ONB00975,10304,Manager Introduction,Manager,Orientation,Complete,2012-02-25,2012-02-23,100.0
ONB00976,10304,Laptop Provisioning,IT,Setup,Not Started,2012-02-27,,0.0
ONB00977,10304,Network Account Setup,IT,Setup,Not Started,2012-02-25,,0.0
ONB00978,10304,Security Awareness Training,Compliance,Enablement,Blocked,2012-03-03,,44.0
ONB00979,10304,Company Policy Training,Compliance,Enablement,Complete,2012-03-01,2012-03-02,100.0
ONB00980,10304,Department Process Training,Role-specific,Enablement,Complete,2012-03-06,2012-03-04,100.0
ONB00981,10304,Tool Access Verification,IT,Enablement,Complete,2012-03-01,2012-02-29,100.0
ONB00982,10304,First Week Check-in,Manager,Enablement,Complete,2012-03-01,2012-03-01,100.0
ONB00983,10304,30-Day Onboarding Review,Manager,Productive,Complete,2012-03-21,2012-03-19,100.0
ONB00984,10284,Complete HR Documentation,HR,Preboarding,Complete,2013-01-10,2013-01-09,100.0
ONB00985,10284,Submit Required Identification,HR,Preboarding,Complete,2013-01-09,2013-01-08,100.0
ONB00986,10284,Complete New Hire Orientation,HR,Orientation,Complete,2013-01-14,2013-01-13,100.0
ONB00987,10284,Manager Introduction,Manager,Orientation,Complete,2013-01-12,2013-01-14,100.0
ONB00988,10284,Laptop Provisioning,IT,Setup,Complete,2013-01-14,2013-01-09,100.0
ONB00989,10284,Network Account Setup,IT,Setup,Complete,2013-01-12,2013-01-14,100.0
ONB00990,10284,Email and Collaboration Access,IT,Setup,Complete,2013-01-12,2013-01-15,100.0
ONB00991,10284,Security Awareness Training,Compliance,Enablement,Complete,2013-01-19,2013-01-14,100.0
ONB00992,10284,Company Policy Training,Compliance,Enablement,Complete,2013-01-17,2013-01-19,100.0
ONB00993,10284,Role-Specific Training,Role-specific,Enablement,Complete,2013-01-27,2013-01-17,100.0
ONB00994,10284,Department Process Training,Role-specific,Enablement,Complete,2013-01-22,2013-01-24,100.0
ONB00995,10284,Tool Access Verification,IT,Enablement,Complete,2013-01-17,2013-01-16,100.0
ONB00996,10284,First Week Check-in,Manager,Enablement,Blocked,2013-01-17,,7.0
ONB00997,10284,30-Day Onboarding Review,Manager,Productive,Complete,2013-02-06,2013-01-29,100.0
ONB00998,10207,Complete HR Documentation,HR,Preboarding,Complete,2012-04-05,2012-04-04,100.0
ONB00999,10207,Submit Required Identification,HR,Preboarding,In Progress,2012-04-04,,20.0
ONB01000,10207,Complete New Hire Orientation,HR,Orientation,Blocked,2012-04-09,,9.0
ONB01001,10207,Manager Introduction,Manager,Orientation,Complete,2012-04-07,2012-04-03,100.0
ONB01002,10207,Laptop Provisioning,IT,Setup,Blocked,2012-04-09,,25.0
ONB01003,10207,Network Account Setup,IT,Setup,Complete,2012-04-07,2012-04-07,100.0
ONB01004,10207,Email and Collaboration Access,IT,Setup,Complete,2012-04-07,2012-04-09,100.0
ONB01005,10207,Security Awareness Training,Compliance,Enablement,In Progress,2012-04-14,,68.0
ONB01006,10207,Company Policy Training,Compliance,Enablement,Complete,2012-04-12,2012-04-15,100.0
ONB01007,10207,Role-Specific Training,Role-specific,Enablement,Complete,2012-04-22,2012-04-25,100.0
ONB01008,10207,Department Process Training,Role-specific,Enablement,Complete,2012-04-17,2012-04-19,100.0
ONB01009,10207,Tool Access Verification,IT,Enablement,Complete,2012-04-12,2012-04-10,100.0
ONB01010,10207,First Week Check-in,Manager,Enablement,Complete,2012-04-12,2012-04-13,100.0
ONB01011,10207,30-Day Onboarding Review,Manager,Productive,Complete,2012-05-02,2012-04-22,100.0
ONB01012,10133,Complete HR Documentation,HR,Preboarding,Complete,2015-01-08,2015-01-07,100.0
ONB01013,10133,Submit Required Identification,HR,Preboarding,Complete,2015-01-07,2015-01-07,100.0
ONB01014,10133,Complete New Hire Orientation,HR,Orientation,Complete,2015-01-12,2015-01-12,100.0
ONB01015,10133,Manager Introduction,Manager,Orientation,In Progress,2015-01-10,,77.0
ONB01016,10133,Laptop Provisioning,IT,Setup,Complete,2015-01-12,2015-01-06,100.0
ONB01017,10133,Network Account Setup,IT,Setup,Complete,2015-01-10,2015-01-06,100.0
ONB01018,10133,Email and Collaboration Access,IT,Setup,Complete,2015-01-10,2015-01-11,100.0
ONB01019,10133,Security Awareness Training,Compliance,Enablement,Complete,2015-01-17,2015-01-11,100.0
ONB01020,10133,Company Policy Training,Compliance,Enablement,Complete,2015-01-15,2015-01-13,100.0
ONB01021,10133,Role-Specific Training,Role-specific,Enablement,Complete,2015-01-25,2015-01-18,100.0
ONB01022,10133,Department Process Training,Role-specific,Enablement,Complete,2015-01-20,2015-01-11,100.0
ONB01023,10133,Tool Access Verification,IT,Enablement,Overdue,2015-01-15,,75.0
ONB01024,10133,First Week Check-in,Manager,Enablement,Complete,2015-01-15,2015-01-15,100.0
ONB01025,10133,30-Day Onboarding Review,Manager,Productive,Complete,2015-02-04,2015-02-07,100.0
ONB01026,10028,Complete HR Documentation,HR,Preboarding,Overdue,2014-01-08,,46.0
ONB01027,10028,Submit Required Identification,HR,Preboarding,In Progress,2014-01-07,,15.0
ONB01028,10028,Complete New Hire Orientation,HR,Orientation,Not Started,2014-01-12,,0.0
ONB01029,10028,Manager Introduction,Manager,Orientation,Blocked,2014-01-10,,17.0
ONB01030,10028,Laptop Provisioning,IT,Setup,Complete,2014-01-12,2014-01-15,100.0
ONB01031,10028,Network Account Setup,IT,Setup,Complete,2014-01-10,2014-01-06,100.0
ONB01032,10028,Email and Collaboration Access,IT,Setup,Complete,2014-01-10,2014-01-12,100.0
ONB01033,10028,Security Awareness Training,Compliance,Enablement,Complete,2014-01-17,2014-01-14,100.0
ONB01034,10028,Company Policy Training,Compliance,Enablement,Complete,2014-01-15,2014-01-12,100.0
ONB01035,10028,Role-Specific Training,Role-specific,Enablement,Complete,2014-01-25,2014-01-22,100.0
ONB01036,10028,Department Process Training,Role-specific,Enablement,Complete,2014-01-20,2014-01-20,100.0
ONB01037,10028,Tool Access Verification,IT,Enablement,In Progress,2014-01-15,,29.0
ONB01038,10028,First Week Check-in,Manager,Enablement,Complete,2014-01-15,2014-01-17,100.0
ONB01039,10028,30-Day Onboarding Review,Manager,Productive,Complete,2014-02-04,2014-02-01,100.0
ONB01040,10006,Complete HR Documentation,HR,Preboarding,In Progress,2011-01-13,,40.0
ONB01041,10006,Submit Required Identification,HR,Preboarding,Complete,2011-01-12,2011-01-15,100.0
ONB01042,10006,Complete New Hire Orientation,HR,Orientation,Complete,2011-01-17,2011-01-12,100.0
ONB01043,10006,Manager Introduction,Manager,Orientation,Complete,2011-01-15,2011-01-15,100.0
ONB01044,10006,Laptop Provisioning,IT,Setup,In Progress,2011-01-17,,91.0
ONB01045,10006,Network Account Setup,IT,Setup,Complete,2011-01-15,2011-01-18,100.0
ONB01046,10006,Email and Collaboration Access,IT,Setup,Complete,2011-01-15,2011-01-17,100.0
ONB01047,10006,Security Awareness Training,Compliance,Enablement,Blocked,2011-01-22,,59.0
ONB01048,10006,Company Policy Training,Compliance,Enablement,Complete,2011-01-20,2011-01-14,100.0
ONB01049,10006,Role-Specific Training,Role-specific,Enablement,Overdue,2011-01-30,,11.0
ONB01050,10006,Department Process Training,Role-specific,Enablement,Complete,2011-01-25,2011-01-18,100.0
ONB01051,10006,Tool Access Verification,IT,Enablement,Not Started,2011-01-20,,0.0
ONB01052,10006,First Week Check-in,Manager,Enablement,Complete,2011-01-20,2011-01-19,100.0
ONB01053,10006,30-Day Onboarding Review,Manager,Productive,Complete,2011-02-09,2011-01-31,100.0
ONB01054,10105,Complete HR Documentation,HR,Preboarding,Complete,2014-09-21,2014-09-20,100.0
ONB01055,10105,Submit Required Identification,HR,Preboarding,In Progress,2014-09-20,,53.0
ONB01056,10105,Complete New Hire Orientation,HR,Orientation,Complete,2014-09-25,2014-09-24,100.0
ONB01057,10105,Manager Introduction,Manager,Orientation,Blocked,2014-09-23,,25.0
ONB01058,10105,Laptop Provisioning,IT,Setup,Complete,2014-09-25,2014-09-22,100.0
ONB01059,10105,Network Account Setup,IT,Setup,Complete,2014-09-23,2014-09-25,100.0
ONB01060,10105,Email and Collaboration Access,IT,Setup,Overdue,2014-09-23,,22.0
ONB01061,10105,Security Awareness Training,Compliance,Enablement,Complete,2014-09-30,2014-09-29,100.0
ONB01062,10105,Company Policy Training,Compliance,Enablement,Blocked,2014-09-28,,52.0
ONB01063,10105,Role-Specific Training,Role-specific,Enablement,Complete,2014-10-08,2014-10-02,100.0
ONB01064,10105,Department Process Training,Role-specific,Enablement,Complete,2014-10-03,2014-09-25,100.0
ONB01065,10105,Tool Access Verification,IT,Enablement,Complete,2014-09-28,2014-09-28,100.0
ONB01066,10105,First Week Check-in,Manager,Enablement,Complete,2014-09-28,2014-09-27,100.0
ONB01067,10105,30-Day Onboarding Review,Manager,Productive,Complete,2014-10-18,2014-10-09,100.0
ONB01068,10211,Complete HR Documentation,HR,Preboarding,Complete,2010-04-29,2010-04-27,100.0
ONB01069,10211,Submit Required Identification,HR,Preboarding,Complete,2010-04-28,2010-04-27,100.0
ONB01070,10211,Complete New Hire Orientation,HR,Orientation,Complete,2010-05-03,2010-04-30,100.0
ONB01071,10211,Manager Introduction,Manager,Orientation,Complete,2010-05-01,2010-04-29,100.0
ONB01072,10211,Laptop Provisioning,IT,Setup,Complete,2010-05-03,2010-05-01,100.0
ONB01073,10211,Network Account Setup,IT,Setup,Complete,2010-05-01,2010-04-27,100.0
ONB01074,10211,Email and Collaboration Access,IT,Setup,Complete,2010-05-01,2010-04-29,100.0
ONB01075,10211,Security Awareness Training,Compliance,Enablement,In Progress,2010-05-08,,46.0
ONB01076,10211,Company Policy Training,Compliance,Enablement,Complete,2010-05-06,2010-05-08,100.0
ONB01077,10211,Role-Specific Training,Role-specific,Enablement,Complete,2010-05-16,2010-05-11,100.0
ONB01078,10211,Department Process Training,Role-specific,Enablement,Complete,2010-05-11,2010-05-09,100.0
ONB01079,10211,Tool Access Verification,IT,Enablement,Complete,2010-05-06,2010-05-04,100.0
ONB01080,10211,First Week Check-in,Manager,Enablement,Complete,2010-05-06,2010-05-07,100.0
ONB01081,10211,30-Day Onboarding Review,Manager,Productive,In Progress,2010-05-26,,23.0
ONB01082,10064,Complete HR Documentation,HR,Preboarding,Complete,2011-04-07,2011-04-10,100.0
ONB01083,10064,Submit Required Identification,HR,Preboarding,In Progress,2011-04-06,,63.0
ONB01084,10064,Complete New Hire Orientation,HR,Orientation,Complete,2011-04-11,2011-04-12,100.0
ONB01085,10064,Manager Introduction,Manager,Orientation,Complete,2011-04-09,2011-04-11,100.0
ONB01086,10064,Laptop Provisioning,IT,Setup,Overdue,2011-04-11,,89.0
ONB01087,10064,Network Account Setup,IT,Setup,Complete,2011-04-09,2011-04-12,100.0
ONB01088,10064,Email and Collaboration Access,IT,Setup,Complete,2011-04-09,2011-04-12,100.0
ONB01089,10064,Security Awareness Training,Compliance,Enablement,Complete,2011-04-16,2011-04-14,100.0
ONB01090,10064,Company Policy Training,Compliance,Enablement,Complete,2011-04-14,2011-04-07,100.0
ONB01091,10064,Role-Specific Training,Role-specific,Enablement,Complete,2011-04-24,2011-04-27,100.0
ONB01092,10064,Department Process Training,Role-specific,Enablement,Complete,2011-04-19,2011-04-10,100.0
ONB01093,10064,Tool Access Verification,IT,Enablement,Complete,2011-04-14,2011-04-16,100.0
ONB01094,10064,First Week Check-in,Manager,Enablement,Complete,2011-04-14,2011-04-10,100.0
ONB01095,10064,30-Day Onboarding Review,Manager,Productive,Complete,2011-05-04,2011-05-07,100.0
ONB01096,10247,Submit Required Identification,HR,Preboarding,Complete,2014-11-12,2014-11-13,100.0
ONB01097,10247,Complete New Hire Orientation,HR,Orientation,Complete,2014-11-17,2014-11-13,100.0
ONB01098,10247,Manager Introduction,Manager,Orientation,Complete,2014-11-15,2014-11-15,100.0
ONB01099,10247,Laptop Provisioning,IT,Setup,Complete,2014-11-17,2014-11-17,100.0
ONB01100,10247,Network Account Setup,IT,Setup,Complete,2014-11-15,2014-11-14,100.0
ONB01101,10247,Email and Collaboration Access,IT,Setup,Complete,2014-11-15,2014-11-13,100.0
ONB01102,10247,Security Awareness Training,Compliance,Enablement,Complete,2014-11-22,2014-11-21,100.0
ONB01103,10247,Company Policy Training,Compliance,Enablement,Blocked,2014-11-20,,27.0
ONB01104,10247,Role-Specific Training,Role-specific,Enablement,Complete,2014-11-30,2014-11-20,100.0
ONB01105,10247,Department Process Training,Role-specific,Enablement,Blocked,2014-11-25,,16.0
ONB01106,10247,Tool Access Verification,IT,Enablement,Complete,2014-11-20,2014-11-21,100.0
ONB01107,10247,First Week Check-in,Manager,Enablement,Complete,2014-11-20,2014-11-15,100.0
ONB01108,10247,30-Day Onboarding Review,Manager,Productive,Complete,2014-12-10,2014-12-13,100.0
ONB01109,10235,Complete HR Documentation,HR,Preboarding,Complete,2014-04-03,2014-04-01,100.0
ONB01110,10235,Submit Required Identification,HR,Preboarding,In Progress,2014-04-02,,88.0
ONB01111,10235,Complete New Hire Orientation,HR,Orientation,Complete,2014-04-07,2014-04-10,100.0
ONB01112,10235,Manager Introduction,Manager,Orientation,Complete,2014-04-05,2014-04-04,100.0
ONB01113,10235,Laptop Provisioning,IT,Setup,Not Started,2014-04-07,,0.0
ONB01114,10235,Network Account Setup,IT,Setup,Complete,2014-04-05,2014-04-06,100.0
ONB01115,10235,Email and Collaboration Access,IT,Setup,Complete,2014-04-05,2014-04-01,100.0
ONB01116,10235,Security Awareness Training,Compliance,Enablement,Complete,2014-04-12,2014-04-09,100.0
ONB01117,10235,Company Policy Training,Compliance,Enablement,Complete,2014-04-10,2014-04-07,100.0
ONB01118,10235,Role-Specific Training,Role-specific,Enablement,Complete,2014-04-20,2014-04-16,100.0
ONB01119,10235,Department Process Training,Role-specific,Enablement,Overdue,2014-04-15,,55.0
ONB01120,10235,Tool Access Verification,IT,Enablement,Complete,2014-04-10,2014-04-05,100.0
ONB01121,10235,First Week Check-in,Manager,Enablement,Complete,2014-04-10,2014-04-11,100.0
ONB01122,10235,30-Day Onboarding Review,Manager,Productive,Complete,2014-04-30,2014-04-23,100.0
ONB01123,10299,Complete HR Documentation,HR,Preboarding,In Progress,2014-07-10,,76.0
ONB01124,10299,Submit Required Identification,HR,Preboarding,Overdue,2014-07-09,,28.0
ONB01125,10299,Complete New Hire Orientation,HR,Orientation,Complete,2014-07-14,2014-07-17,100.0
ONB01126,10299,Manager Introduction,Manager,Orientation,In Progress,2014-07-12,,95.0
ONB01127,10299,Network Account Setup,IT,Setup,Complete,2014-07-12,2014-07-10,100.0
ONB01128,10299,Email and Collaboration Access,IT,Setup,Complete,2014-07-12,2014-07-13,100.0
ONB01129,10299,Security Awareness Training,Compliance,Enablement,In Progress,2014-07-19,,74.0
ONB01130,10299,Company Policy Training,Compliance,Enablement,Complete,2014-07-17,2014-07-18,100.0
ONB01131,10299,Role-Specific Training,Role-specific,Enablement,Blocked,2014-07-27,,26.0
ONB01132,10299,Tool Access Verification,IT,Enablement,Complete,2014-07-17,2014-07-11,100.0
ONB01133,10299,30-Day Onboarding Review,Manager,Productive,Complete,2014-08-06,2014-08-07,100.0
ONB01134,10280,Complete HR Documentation,HR,Preboarding,Complete,2012-04-05,2012-04-02,100.0
ONB01135,10280,Submit Required Identification,HR,Preboarding,Complete,2012-04-04,2012-04-07,100.0
ONB01136,10280,Complete New Hire Orientation,HR,Orientation,Blocked,2012-04-09,,32.0
ONB01137,10280,Manager Introduction,Manager,Orientation,Complete,2012-04-07,2012-04-09,100.0
ONB01138,10280,Laptop Provisioning,IT,Setup,Complete,2012-04-09,2012-04-11,100.0
ONB01139,10280,Network Account Setup,IT,Setup,Complete,2012-04-07,2012-04-08,100.0
ONB01140,10280,Email and Collaboration Access,IT,Setup,Complete,2012-04-07,2012-04-07,100.0
ONB01141,10280,Security Awareness Training,Compliance,Enablement,Complete,2012-04-14,2012-04-09,100.0
ONB01142,10280,Company Policy Training,Compliance,Enablement,Complete,2012-04-12,2012-04-10,100.0
ONB01143,10280,Role-Specific Training,Role-specific,Enablement,Complete,2012-04-22,2012-04-18,100.0
ONB01144,10280,Department Process Training,Role-specific,Enablement,Complete,2012-04-17,2012-04-14,100.0
ONB01145,10280,Tool Access Verification,IT,Enablement,In Progress,2012-04-12,,93.0
ONB01146,10280,First Week Check-in,Manager,Enablement,Not Started,2012-04-12,,0.0
ONB01147,10280,30-Day Onboarding Review,Manager,Productive,In Progress,2012-05-02,,35.0
ONB01148,10296,Complete HR Documentation,HR,Preboarding,In Progress,2014-02-20,,28.0
ONB01149,10296,Submit Required Identification,HR,Preboarding,Complete,2014-02-19,2014-02-17,100.0
ONB01150,10296,Complete New Hire Orientation,HR,Orientation,Complete,2014-02-24,2014-02-20,100.0
ONB01151,10296,Manager Introduction,Manager,Orientation,Complete,2014-02-22,2014-02-24,100.0
ONB01152,10296,Laptop Provisioning,IT,Setup,Complete,2014-02-24,2014-02-19,100.0
ONB01153,10296,Network Account Setup,IT,Setup,Complete,2014-02-22,2014-02-25,100.0
ONB01154,10296,Email and Collaboration Access,IT,Setup,Complete,2014-02-22,2014-02-21,100.0
ONB01155,10296,Security Awareness Training,Compliance,Enablement,Complete,2014-03-01,2014-03-01,100.0
ONB01156,10296,Company Policy Training,Compliance,Enablement,Complete,2014-02-27,2014-02-21,100.0
ONB01157,10296,Role-Specific Training,Role-specific,Enablement,Complete,2014-03-09,2014-03-09,100.0
ONB01158,10296,Department Process Training,Role-specific,Enablement,Complete,2014-03-04,2014-02-26,100.0
ONB01159,10296,Tool Access Verification,IT,Enablement,Complete,2014-02-27,2014-02-22,100.0
ONB01160,10296,First Week Check-in,Manager,Enablement,Complete,2014-02-27,2014-02-25,100.0
ONB01161,10296,30-Day Onboarding Review,Manager,Productive,Blocked,2014-03-19,,71.0
ONB01162,10290,Complete HR Documentation,HR,Preboarding,Complete,2011-05-05,2011-05-05,100.0
