learning_record_id,employee_id,course_name,course_type,assigned_date,completed_date,assessment_score,completion_time_hours,course_status
LRN00669,10070,Data Privacy and Protection,Compliance,2011-05-18,2011-05-23,89.1,1.54,Completed
LRN00670,10070,Code of Conduct,Compliance,2011-05-16,,,,In Progress
LRN00671,10070,Workplace Safety,Compliance,2011-05-17,,,,Overdue
LRN00672,10070,Company Orientation,Orientation,2011-05-16,2011-05-17,82.26,2.19,Completed
LRN00673,10070,HR Policies and Benefits,Orientation,2011-05-17,,,,In Progress
LRN00674,10070,Communication and Collaboration Tools,Orientation,2011-05-18,,,,Assigned
LRN00675,10070,Department Process Training,Role-specific,2011-05-21,,,,Assigned
LRN00676,10070,Role Fundamentals,Role-specific,2011-05-23,2011-05-26,92.28,7.04,Completed
LRN00677,10070,Role Tools and Systems,Role-specific,2011-05-24,,,,Assigned
LRN00678,10070,Professional Development,Optional,2011-05-31,2011-06-18,98.35,5.26,Completed
LRN00679,10155,Information Security Awareness,Compliance,2012-01-10,2012-01-19,81.9,3.2,Completed
LRN00680,10155,Data Privacy and Protection,Compliance,2012-01-11,,,,Assigned
LRN00681,10155,Code of Conduct,Compliance,2012-01-09,2012-01-17,87.69,1.62,Completed
LRN00682,10155,Workplace Safety,Compliance,2012-01-10,2012-01-20,87.59,2.2,Completed
LRN00683,10155,Company Orientation,Orientation,2012-01-09,2012-01-14,86.5,2.55,Completed
LRN00684,10155,HR Policies and Benefits,Orientation,2012-01-10,,,,Assigned
LRN00685,10155,Communication and Collaboration Tools,Orientation,2012-01-11,2012-01-23,86.35,2.1,Completed
LRN00686,10155,Department Process Training,Role-specific,2012-01-14,2012-01-20,85.78,4.15,Completed
LRN00687,10155,Role Fundamentals,Role-specific,2012-01-16,2012-01-29,89.38,7.28,Completed
LRN00688,10155,Role Tools and Systems,Role-specific,2012-01-17,2012-01-29,100.0,4.16,Completed
LRN00689,10155,Professional Development,Optional,2012-01-24,,,,Overdue
LRN00690,10306,Information Security Awareness,Compliance,2014-09-30,2014-10-07,88.55,3.13,Completed
LRN00691,10306,Data Privacy and Protection,Compliance,2014-10-01,2014-10-04,83.34,3.08,Completed
LRN00692,10306,Code of Conduct,Compliance,2014-09-29,2014-10-03,80.45,1.22,Completed
LRN00693,10306,Workplace Safety,Compliance,2014-09-30,,69.27,,In Progress
LRN00694,10306,Company Orientation,Orientation,2014-09-29,2014-10-07,91.85,2.08,Completed
LRN00695,10306,HR Policies and Benefits,Orientation,2014-09-30,,,,Overdue
LRN00696,10306,Communication and Collaboration Tools,Orientation,2014-10-01,,,,Assigned
LRN00697,10306,Department Process Training,Role-specific,2014-10-04,2014-10-09,79.52,4.54,Completed
LRN00698,10306,Role Fundamentals,Role-specific,2014-10-06,2014-10-13,81.83,4.87,Completed
LRN00699,10306,Role Tools and Systems,Role-specific,2014-10-07,,,,Overdue
LRN00700,10100,Information Security Awareness,Compliance,2011-04-05,2011-04-15,95.98,3.91,Completed
LRN00701,10100,Data Privacy and Protection,Compliance,2011-04-06,,,,Overdue
LRN00702,10100,Code of Conduct,Compliance,2011-04-04,,,,Overdue
LRN00703,10100,Workplace Safety,Compliance,2011-04-05,2011-04-18,79.19,1.57,Completed
LRN00704,10100,Company Orientation,Orientation,2011-04-04,2011-04-08,88.68,2.53,Completed
LRN00705,10100,HR Policies and Benefits,Orientation,2011-04-05,,74.03,,In Progress
LRN00706,10100,Communication and Collaboration Tools,Orientation,2011-04-06,2011-04-09,100.0,2.62,Completed
LRN00707,10100,Department Process Training,Role-specific,2011-04-09,2011-04-24,72.08,4.01,Completed
LRN00708,10100,Role Fundamentals,Role-specific,2011-04-11,2011-05-01,82.25,8.41,Completed
LRN00709,10100,Role Tools and Systems,Role-specific,2011-04-12,2011-04-22,78.55,3.6,Completed
LRN00710,10310,Information Security Awareness,Compliance,2014-07-08,2014-07-12,84.56,2.51,Completed
LRN00711,10310,Data Privacy and Protection,Compliance,2014-07-09,2014-07-13,81.68,1.93,Completed
LRN00712,10310,Code of Conduct,Compliance,2014-07-07,2014-07-11,90.84,1.82,Completed
LRN00713,10310,Workplace Safety,Compliance,2014-07-08,2014-07-10,89.5,2.24,Completed
LRN00714,10310,Company Orientation,Orientation,2014-07-07,2014-07-17,92.32,2.99,Completed
LRN00715,10310,HR Policies and Benefits,Orientation,2014-07-08,2014-07-09,79.07,2.01,Completed
LRN00716,10310,Communication and Collaboration Tools,Orientation,2014-07-09,,,,In Progress
LRN00717,10310,Department Process Training,Role-specific,2014-07-12,,,,In Progress
LRN00718,10310,Role Fundamentals,Role-specific,2014-07-14,2014-07-16,79.85,6.1,Completed
LRN00719,10310,Role Tools and Systems,Role-specific,2014-07-15,,,,Assigned
LRN00720,10310,Professional Development,Optional,2014-07-22,,,,Assigned
LRN00721,10197,Information Security Awareness,Compliance,2017-02-16,2017-02-18,88.22,2.74,Completed
LRN00722,10197,Data Privacy and Protection,Compliance,2017-02-17,2017-03-02,75.7,2.63,Completed
LRN00723,10197,Code of Conduct,Compliance,2017-02-15,2017-02-22,85.69,1.47,Completed
LRN00724,10197,Workplace Safety,Compliance,2017-02-16,2017-02-18,83.56,2.49,Completed
LRN00725,10197,Company Orientation,Orientation,2017-02-15,,,,In Progress
LRN00726,10197,HR Policies and Benefits,Orientation,2017-02-16,2017-02-24,81.04,1.37,Completed
LRN00727,10197,Communication and Collaboration Tools,Orientation,2017-02-17,2017-02-22,85.56,3.08,Completed
LRN00728,10197,Department Process Training,Role-specific,2017-02-20,,,,Overdue
LRN00729,10197,Role Fundamentals,Role-specific,2017-02-22,,,,In Progress
LRN00730,10197,Role Tools and Systems,Role-specific,2017-02-23,2017-03-13,76.54,4.8,Completed
LRN00731,10197,Professional Development,Optional,2017-03-02,2017-03-13,94.68,5.55,Completed
LRN00732,10276,Information Security Awareness,Compliance,2014-05-13,,,,In Progress
LRN00733,10276,Code of Conduct,Compliance,2014-05-12,,,,Assigned
LRN00734,10276,Workplace Safety,Compliance,2014-05-13,2014-05-27,91.05,2.36,Completed
LRN00735,10276,Company Orientation,Orientation,2014-05-12,2014-05-13,61.49,1.86,Completed
LRN00736,10276,HR Policies and Benefits,Orientation,2014-05-13,2014-05-15,70.13,2.49,Completed
LRN00737,10276,Communication and Collaboration Tools,Orientation,2014-05-14,2014-05-23,94.84,2.64,Completed
LRN00738,10276,Department Process Training,Role-specific,2014-05-17,2014-05-19,91.58,5.82,Completed
LRN00739,10276,Role Fundamentals,Role-specific,2014-05-19,2014-06-03,73.36,6.54,Completed
LRN00740,10276,Role Tools and Systems,Role-specific,2014-05-20,2014-05-31,82.59,5.55,Completed
LRN00741,10304,Information Security Awareness,Compliance,2012-02-21,,64.94,,In Progress
LRN00742,10304,Data Privacy and Protection,Compliance,2012-02-22,2012-03-04,78.88,0.89,Completed
LRN00743,10304,Code of Conduct,Compliance,2012-02-20,2012-02-28,82.05,2.08,Completed
LRN00744,10304,Workplace Safety,Compliance,2012-02-21,2012-02-27,96.33,2.1,Completed
LRN00745,10304,Company Orientation,Orientation,2012-02-20,,,,Assigned
LRN00746,10304,HR Policies and Benefits,Orientation,2012-02-21,2012-02-25,86.45,2.2,Completed
LRN00747,10304,Communication and Collaboration Tools,Orientation,2012-02-22,,,,In Progress
LRN00748,10304,Department Process Training,Role-specific,2012-02-25,2012-03-05,100.0,3.78,Completed
LRN00749,10304,Role Fundamentals,Role-specific,2012-02-27,2012-03-07,95.12,6.01,Completed
LRN00750,10304,Role Tools and Systems,Role-specific,2012-02-28,2012-03-06,90.13,2.5,Completed
LRN00751,10304,Professional Development,Optional,2012-03-06,,78.0,,In Progress
LRN00752,10284,Information Security Awareness,Compliance,2013-01-08,2013-01-15,82.07,2.54,Completed
LRN00753,10284,Data Privacy and Protection,Compliance,2013-01-09,,,,Overdue
LRN00754,10284,Code of Conduct,Compliance,2013-01-07,2013-01-08,94.4,1.75,Completed
LRN00755,10284,Workplace Safety,Compliance,2013-01-08,2013-01-13,69.56,1.92,Completed
LRN00756,10284,Company Orientation,Orientation,2013-01-07,2013-01-15,78.24,2.41,Completed
LRN00757,10284,HR Policies and Benefits,Orientation,2013-01-08,2013-01-15,92.0,2.26,Completed
LRN00758,10284,Communication and Collaboration Tools,Orientation,2013-01-09,,,,In Progress
LRN00759,10284,Department Process Training,Role-specific,2013-01-12,,,,Assigned
LRN00760,10284,Role Fundamentals,Role-specific,2013-01-14,,69.5,,In Progress
LRN00761,10284,Role Tools and Systems,Role-specific,2013-01-15,2013-01-18,95.67,5.91,Completed
LRN00762,10207,Information Security Awareness,Compliance,2012-04-03,2012-04-06,100.0,3.24,Completed
LRN00763,10207,Data Privacy and Protection,Compliance,2012-04-04,2012-04-13,82.9,1.65,Completed
LRN00764,10207,Code of Conduct,Compliance,2012-04-02,,,,Overdue
LRN00765,10207,Workplace Safety,Compliance,2012-04-03,2012-04-05,85.08,2.64,Completed
LRN00766,10207,Company Orientation,Orientation,2012-04-02,,,,Assigned
LRN00767,10207,HR Policies and Benefits,Orientation,2012-04-03,,61.01,,In Progress
LRN00768,10207,Communication and Collaboration Tools,Orientation,2012-04-04,2012-04-07,85.31,2.36,Completed
LRN00769,10207,Department Process Training,Role-specific,2012-04-07,,,,In Progress
LRN00770,10207,Role Fundamentals,Role-specific,2012-04-09,2012-04-29,81.09,4.07,Completed
LRN00771,10207,Role Tools and Systems,Role-specific,2012-04-10,2012-04-24,94.98,4.46,Completed
LRN00772,10133,Information Security Awareness,Compliance,2015-01-06,2015-01-15,78.9,1.92,Completed
LRN00773,10133,Data Privacy and Protection,Compliance,2015-01-07,2015-01-16,84.53,1.74,Completed
LRN00774,10133,Code of Conduct,Compliance,2015-01-05,2015-01-09,93.84,1.58,Completed
LRN00775,10133,Workplace Safety,Compliance,2015-01-06,,,,In Progress
LRN00776,10133,Company Orientation,Orientation,2015-01-05,2015-01-12,79.07,1.68,Completed
LRN00777,10133,HR Policies and Benefits,Orientation,2015-01-06,2015-01-17,67.02,1.79,Completed
LRN00778,10133,Communication and Collaboration Tools,Orientation,2015-01-07,2015-01-15,98.61,1.65,Completed
LRN00779,10133,Department Process Training,Role-specific,2015-01-10,,,,In Progress
LRN00780,10133,Role Fundamentals,Role-specific,2015-01-12,2015-02-02,80.94,6.74,Completed
LRN00781,10133,Role Tools and Systems,Role-specific,2015-01-13,,,,Assigned
LRN00782,10028,Information Security Awareness,Compliance,2014-01-06,2014-01-14,82.51,2.55,Completed
LRN00783,10028,Data Privacy and Protection,Compliance,2014-01-07,2014-01-10,81.39,1.99,Completed
LRN00784,10028,Code of Conduct,Compliance,2014-01-05,2014-01-09,73.82,1.81,Completed
LRN00785,10028,Workplace Safety,Compliance,2014-01-06,,,,In Progress
LRN00786,10028,Company Orientation,Orientation,2014-01-05,,,,In Progress
LRN00787,10028,HR Policies and Benefits,Orientation,2014-01-06,2014-01-18,78.14,2.11,Completed
LRN00788,10028,Communication and Collaboration Tools,Orientation,2014-01-07,2014-01-17,84.96,2.54,Completed
LRN00789,10028,Department Process Training,Role-specific,2014-01-10,2014-01-28,91.92,4.66,Completed
LRN00790,10028,Role Fundamentals,Role-specific,2014-01-12,2014-01-24,82.99,5.45,Completed
LRN00791,10028,Role Tools and Systems,Role-specific,2014-01-13,,,,Overdue
LRN00792,10006,Information Security Awareness,Compliance,2011-01-11,2011-01-19,79.38,2.29,Completed
LRN00793,10006,Data Privacy and Protection,Compliance,2011-01-12,2011-01-27,93.97,1.76,Completed
LRN00794,10006,Code of Conduct,Compliance,2011-01-10,2011-01-13,75.92,1.11,Completed
LRN00795,10006,Workplace Safety,Compliance,2011-01-11,2011-01-13,76.49,1.72,Completed
LRN00796,10006,Company Orientation,Orientation,2011-01-10,2011-01-14,96.58,2.83,Completed
LRN00797,10006,HR Policies and Benefits,Orientation,2011-01-11,2011-01-13,82.31,1.83,Completed
LRN00798,10006,Communication and Collaboration Tools,Orientation,2011-01-12,,,,Assigned
LRN00799,10006,Department Process Training,Role-specific,2011-01-15,,,,Assigned
LRN00800,10006,Role Fundamentals,Role-specific,2011-01-17,,,,In Progress
LRN00801,10006,Role Tools and Systems,Role-specific,2011-01-18,2011-01-31,92.1,4.25,Completed
LRN00802,10105,Information Security Awareness,Compliance,2014-09-19,,,,In Progress
LRN00803,10105,Data Privacy and Protection,Compliance,2014-09-20,2014-09-30,85.09,2.04,Completed
LRN00804,10105,Code of Conduct,Compliance,2014-09-18,2014-09-24,85.98,1.74,Completed
LRN00805,10105,Workplace Safety,Compliance,2014-09-19,2014-09-24,92.13,1.7,Completed
LRN00806,10105,Company Orientation,Orientation,2014-09-18,2014-09-21,85.02,1.4,Completed
LRN00807,10105,HR Policies and Benefits,Orientation,2014-09-19,2014-09-25,95.86,2.22,Completed
LRN00808,10105,Communication and Collaboration Tools,Orientation,2014-09-20,2014-09-24,89.88,3.11,Completed
LRN00809,10105,Department Process Training,Role-specific,2014-09-23,2014-10-02,98.17,4.29,Completed
LRN00810,10105,Role Fundamentals,Role-specific,2014-09-25,2014-10-02,81.19,8.05,Completed
LRN00811,10105,Role Tools and Systems,Role-specific,2014-09-26,2014-10-04,92.44,4.61,Completed
LRN00812,10211,Information Security Awareness,Compliance,2010-04-27,,,,In Progress
LRN00813,10211,Data Privacy and Protection,Compliance,2010-04-28,2010-05-02,100.0,1.91,Completed
LRN00814,10211,Code of Conduct,Compliance,2010-04-26,,74.82,,In Progress
LRN00815,10211,Workplace Safety,Compliance,2010-04-27,2010-05-07,83.03,2.43,Completed
LRN00816,10211,Company Orientation,Orientation,2010-04-26,2010-04-29,90.34,2.62,Completed
LRN00817,10211,HR Policies and Benefits,Orientation,2010-04-27,,,,Assigned
LRN00818,10211,Communication and Collaboration Tools,Orientation,2010-04-28,2010-05-05,94.37,2.07,Completed
LRN00819,10211,Department Process Training,Role-specific,2010-05-01,2010-05-08,91.05,4.38,Completed
LRN00820,10211,Role Fundamentals,Role-specific,2010-05-03,2010-05-12,83.44,6.94,Completed
LRN00821,10211,Role Tools and Systems,Role-specific,2010-05-04,,64.88,,In Progress
LRN00822,10064,Information Security Awareness,Compliance,2011-04-05,2011-04-06,85.13,2.28,Completed
LRN00823,10064,Data Privacy and Protection,Compliance,2011-04-06,2011-04-12,89.11,1.85,Completed
LRN00824,10064,Code of Conduct,Compliance,2011-04-04,2011-04-07,97.48,1.95,Completed
LRN00825,10064,Workplace Safety,Compliance,2011-04-05,,,,Assigned
LRN00826,10064,Company Orientation,Orientation,2011-04-04,,,,Assigned
LRN00827,10064,HR Policies and Benefits,Orientation,2011-04-05,,,,Overdue
LRN00828,10064,Communication and Collaboration Tools,Orientation,2011-04-06,2011-04-09,95.07,2.03,Completed
LRN00829,10064,Department Process Training,Role-specific,2011-04-09,2011-04-22,71.52,4.38,Completed
LRN00830,10064,Role Fundamentals,Role-specific,2011-04-11,2011-04-23,91.12,7.77,Completed
LRN00831,10064,Role Tools and Systems,Role-specific,2011-04-12,,,,Assigned
LRN00832,10247,Information Security Awareness,Compliance,2014-11-11,2014-11-14,96.13,3.19,Completed
LRN00833,10247,Data Privacy and Protection,Compliance,2014-11-12,2014-11-19,93.74,1.97,Completed
LRN00834,10247,Code of Conduct,Compliance,2014-11-10,2014-11-13,93.95,1.52,Completed
LRN00835,10247,Workplace Safety,Compliance,2014-11-11,,,,In Progress
LRN00836,10247,Company Orientation,Orientation,2014-11-10,2014-11-19,79.33,3.58,Completed
LRN00837,10247,HR Policies and Benefits,Orientation,2014-11-11,2014-11-14,73.13,1.67,Completed
LRN00838,10247,Communication and Collaboration Tools,Orientation,2014-11-12,,,,Assigned
LRN00839,10247,Department Process Training,Role-specific,2014-11-15,2014-11-30,70.69,4.83,Completed
LRN00840,10247,Role Fundamentals,Role-specific,2014-11-17,2014-11-24,85.3,6.25,Completed
LRN00841,10247,Role Tools and Systems,Role-specific,2014-11-18,2014-12-05,78.82,3.61,Completed
LRN00842,10235,Information Security Awareness,Compliance,2014-04-01,2014-04-05,85.94,2.97,Completed
LRN00843,10235,Data Privacy and Protection,Compliance,2014-04-02,,,,In Progress
LRN00844,10235,Code of Conduct,Compliance,2014-03-31,2014-04-06,80.54,1.96,Completed
LRN00845,10235,Workplace Safety,Compliance,2014-04-01,2014-04-03,84.76,2.54,Completed
LRN00846,10235,Company Orientation,Orientation,2014-03-31,2014-04-06,79.47,2.48,Completed
LRN00847,10235,HR Policies and Benefits,Orientation,2014-04-01,2014-04-03,85.55,2.0,Completed
LRN00848,10235,Communication and Collaboration Tools,Orientation,2014-04-02,,,,Overdue
LRN00849,10235,Department Process Training,Role-specific,2014-04-05,,,,Assigned
LRN00850,10235,Role Fundamentals,Role-specific,2014-04-07,2014-04-27,95.66,5.6,Completed
LRN00851,10235,Role Tools and Systems,Role-specific,2014-04-08,2014-04-27,81.32,5.03,Completed
LRN00852,10299,Information Security Awareness,Compliance,2014-07-08,2014-07-19,97.58,2.42,Completed
LRN00853,10299,Data Privacy and Protection,Compliance,2014-07-09,2014-07-15,88.33,2.96,Completed
LRN00854,10299,Code of Conduct,Compliance,2014-07-07,2014-07-09,70.82,1.89,Completed
LRN00855,10299,Workplace Safety,Compliance,2014-07-08,2014-07-13,81.31,2.11,Completed
LRN00856,10299,Company Orientation,Orientation,2014-07-07,2014-07-13,84.56,2.72,Completed
LRN00857,10299,HR Policies and Benefits,Orientation,2014-07-08,2014-07-17,83.22,1.43,Completed
LRN00858,10299,Communication and Collaboration Tools,Orientation,2014-07-09,,64.0,,In Progress
LRN00859,10299,Department Process Training,Role-specific,2014-07-12,,,,Assigned
LRN00860,10299,Role Fundamentals,Role-specific,2014-07-14,2014-07-23,80.75,6.83,Completed
LRN00861,10299,Role Tools and Systems,Role-specific,2014-07-15,2014-07-27,89.88,4.28,Completed
LRN00862,10299,Professional Development,Optional,2014-07-22,,,,In Progress
LRN00863,10280,Information Security Awareness,Compliance,2012-04-03,2012-04-13,87.13,1.62,Completed
LRN00864,10280,Code of Conduct,Compliance,2012-04-02,2012-04-12,70.72,1.12,Completed
LRN00865,10280,Workplace Safety,Compliance,2012-04-03,2012-04-07,85.49,1.85,Completed
LRN00866,10280,Company Orientation,Orientation,2012-04-02,,,,Assigned
LRN00867,10280,HR Policies and Benefits,Orientation,2012-04-03,,,,In Progress
LRN00868,10280,Communication and Collaboration Tools,Orientation,2012-04-04,2012-04-11,79.1,2.93,Completed
LRN00869,10280,Department Process Training,Role-specific,2012-04-07,2012-04-19,92.68,4.95,Completed
LRN00870,10280,Role Fundamentals,Role-specific,2012-04-09,2012-04-11,89.2,2.57,Completed
LRN00871,10280,Role Tools and Systems,Role-specific,2012-04-10,2012-04-24,85.09,4.45,Completed
LRN00872,10296,Information Security Awareness,Compliance,2014-02-18,2014-02-26,86.54,2.56,Completed
LRN00873,10296,Data Privacy and Protection,Compliance,2014-02-19,2014-03-01,94.31,1.57,Completed
LRN00874,10296,Code of Conduct,Compliance,2014-02-17,2014-02-20,72.12,1.55,Completed
LRN00875,10296,Workplace Safety,Compliance,2014-02-18,2014-02-23,83.03,1.64,Completed
LRN00876,10296,Company Orientation,Orientation,2014-02-17,2014-02-23,75.88,1.92,Completed
LRN00877,10296,HR Policies and Benefits,Orientation,2014-02-18,,,,Overdue
LRN00878,10296,Communication and Collaboration Tools,Orientation,2014-02-19,,,,Assigned
LRN00879,10296,Department Process Training,Role-specific,2014-02-22,2014-03-10,85.79,3.68,Completed
LRN00880,10296,Role Fundamentals,Role-specific,2014-02-24,2014-03-12,100.0,7.67,Completed
LRN00881,10296,Role Tools and Systems,Role-specific,2014-02-25,2014-03-13,91.18,3.75,Completed
LRN00882,10296,Professional Development,Optional,2014-03-04,2014-03-19,95.28,6.05,Completed
LRN00883,10290,Information Security Awareness,Compliance,2011-05-03,2011-05-13,76.42,2.82,Completed
LRN00884,10290,Data Privacy and Protection,Compliance,2011-05-04,2011-05-13,92.0,2.35,Completed
LRN00885,10290,Code of Conduct,Compliance,2011-05-02,,,,Overdue
LRN00886,10290,Workplace Safety,Compliance,2011-05-03,,,,Overdue
LRN00887,10290,Company Orientation,Orientation,2011-05-02,,,,In Progress
LRN00888,10290,HR Policies and Benefits,Orientation,2011-05-03,2011-05-13,71.43,2.7,Completed
LRN00889,10290,Communication and Collaboration Tools,Orientation,2011-05-04,2011-05-17,92.16,2.98,Completed
LRN00890,10290,Department Process Training,Role-specific,2011-05-07,,,,In Progress
LRN00891,10290,Role Fundamentals,Role-specific,2011-05-09,2011-05-20,100.0,6.67,Completed
LRN00892,10290,Role Tools and Systems,Role-specific,2011-05-10,,,,In Progress
LRN00893,10290,Professional Development,Optional,2011-05-17,2011-05-24,98.04,4.34,Completed
LRN00894,10263,Information Security Awareness,Compliance,2014-07-08,2014-07-09,86.09,2.47,Completed
LRN00895,10263,Data Privacy and Protection,Compliance,2014-07-09,2014-07-21,82.4,2.59,Completed
LRN00896,10263,Code of Conduct,Compliance,2014-07-07,,,,In Progress
LRN00897,10263,Workplace Safety,Compliance,2014-07-08,2014-07-22,91.4,2.22,Completed
LRN00898,10263,Company Orientation,Orientation,2014-07-07,2014-07-12,90.59,2.18,Completed
LRN00899,10263,HR Policies and Benefits,Orientation,2014-07-08,2014-07-19,92.99,1.61,Completed
LRN00900,10263,Communication and Collaboration Tools,Orientation,2014-07-09,,,,Overdue
LRN00901,10263,Department Process Training,Role-specific,2014-07-12,2014-07-15,99.81,2.47,Completed
LRN00902,10263,Role Fundamentals,Role-specific,2014-07-14,2014-07-24,81.44,5.24,Completed
LRN00903,10263,Role Tools and Systems,Role-specific,2014-07-15,2014-07-20,82.64,4.02,Completed
LRN00904,10136,Information Security Awareness,Compliance,2014-02-18,2014-02-22,92.02,2.92,Completed
LRN00905,10136,Data Privacy and Protection,Compliance,2014-02-19,2014-02-28,88.39,2.27,Completed
LRN00906,10136,Code of Conduct,Compliance,2014-02-17,2014-02-25,85.07,2.05,Completed
LRN00907,10136,Workplace Safety,Compliance,2014-02-18,2014-02-20,72.69,3.0,Completed
LRN00908,10136,Company Orientation,Orientation,2014-02-17,2014-02-21,93.76,2.0,Completed
LRN00909,10136,HR Policies and Benefits,Orientation,2014-02-18,2014-03-02,85.14,2.22,Completed
LRN00910,10136,Communication and Collaboration Tools,Orientation,2014-02-19,2014-02-26,86.6,2.42,Completed
LRN00911,10136,Department Process Training,Role-specific,2014-02-22,,,,Overdue
LRN00912,10136,Role Fundamentals,Role-specific,2014-02-24,2014-03-17,91.85,5.2,Completed
LRN00913,10136,Role Tools and Systems,Role-specific,2014-02-25,,61.79,,In Progress
LRN00914,10136,Professional Development,Optional,2014-03-04,,,,In Progress
LRN00915,10189,Information Security Awareness,Compliance,2011-11-08,,,,Assigned
LRN00916,10189,Data Privacy and Protection,Compliance,2011-11-09,2011-11-14,98.6,1.98,Completed
LRN00917,10189,Code of Conduct,Compliance,2011-11-07,2011-11-15,83.28,1.23,Completed
LRN00918,10189,Workplace Safety,Compliance,2011-11-08,2011-11-12,79.73,3.22,Completed
LRN00919,10189,Company Orientation,Orientation,2011-11-07,,,,In Progress
LRN00920,10189,HR Policies and Benefits,Orientation,2011-11-08,2011-11-17,98.23,2.03,Completed
LRN00921,10189,Communication and Collaboration Tools,Orientation,2011-11-09,2011-11-21,80.58,1.96,Completed
LRN00922,10189,Department Process Training,Role-specific,2011-11-12,2011-11-21,86.94,2.21,Completed
LRN00923,10189,Role Fundamentals,Role-specific,2011-11-14,2011-11-17,79.35,6.48,Completed
LRN00924,10189,Role Tools and Systems,Role-specific,2011-11-15,2011-12-02,93.15,5.18,Completed
LRN00925,10189,Professional Development,Optional,2011-11-22,,,,Overdue
LRN00926,10308,Information Security Awareness,Compliance,2015-05-12,,64.03,,In Progress
LRN00927,10308,Data Privacy and Protection,Compliance,2015-05-13,2015-05-16,89.37,1.96,Completed
LRN00928,10308,Code of Conduct,Compliance,2015-05-11,2015-05-15,80.89,1.3,Completed
LRN00929,10308,Workplace Safety,Compliance,2015-05-12,,,,Overdue
LRN00930,10308,Company Orientation,Orientation,2015-05-11,2015-05-19,86.63,2.07,Completed
LRN00931,10308,HR Policies and Benefits,Orientation,2015-05-12,2015-05-20,81.52,1.44,Completed
LRN00932,10308,Communication and Collaboration Tools,Orientation,2015-05-13,2015-05-17,82.73,2.52,Completed
LRN00933,10308,Department Process Training,Role-specific,2015-05-16,,,,Overdue
LRN00934,10308,Role Fundamentals,Role-specific,2015-05-18,2015-05-28,76.41,6.65,Completed
LRN00935,10308,Role Tools and Systems,Role-specific,2015-05-19,,,,In Progress
LRN00936,10309,Information Security Awareness,Compliance,2015-03-31,2015-04-09,98.61,3.42,Completed
LRN00937,10309,Data Privacy and Protection,Compliance,2015-04-01,2015-04-03,93.3,1.71,Completed
LRN00938,10309,Code of Conduct,Compliance,2015-03-30,2015-04-02,80.84,1.3,Completed
LRN00939,10309,Workplace Safety,Compliance,2015-03-31,2015-04-09,92.41,2.11,Completed
LRN00940,10309,Company Orientation,Orientation,2015-03-30,2015-04-08,80.03,2.93,Completed
LRN00941,10309,HR Policies and Benefits,Orientation,2015-03-31,2015-04-08,94.45,1.7,Completed
LRN00942,10309,Communication and Collaboration Tools,Orientation,2015-04-01,2015-04-06,97.37,2.3,Completed
LRN00943,10309,Department Process Training,Role-specific,2015-04-04,2015-04-18,99.14,5.01,Completed
LRN00944,10309,Role Fundamentals,Role-specific,2015-04-06,,,,In Progress
LRN00945,10309,Role Tools and Systems,Role-specific,2015-04-07,,,,Assigned
LRN00946,10049,Information Security Awareness,Compliance,2012-01-10,2012-01-21,95.35,1.92,Completed
LRN00947,10049,Data Privacy and Protection,Compliance,2012-01-11,2012-01-22,83.64,0.99,Completed
LRN00948,10049,Code of Conduct,Compliance,2012-01-09,2012-01-11,90.25,1.53,Completed
LRN00949,10049,Workplace Safety,Compliance,2012-01-10,2012-01-18,100.0,1.49,Completed
LRN00950,10049,Company Orientation,Orientation,2012-01-09,2012-01-14,80.11,2.51,Completed
LRN00951,10049,HR Policies and Benefits,Orientation,2012-01-10,2012-01-20,97.28,1.73,Completed
LRN00952,10049,Communication and Collaboration Tools,Orientation,2012-01-11,2012-01-25,94.22,2.47,Completed
LRN00953,10049,Department Process Training,Role-specific,2012-01-14,2012-01-15,81.33,4.1,Completed
LRN00954,10049,Role Fundamentals,Role-specific,2012-01-16,2012-01-25,75.24,5.06,Completed
LRN00955,10049,Role Tools and Systems,Role-specific,2012-01-17,2012-02-01,81.12,6.57,Completed
LRN00956,10093,Information Security Awareness,Compliance,2011-05-17,2011-05-28,87.78,3.19,Completed
LRN00957,10093,Data Privacy and Protection,Compliance,2011-05-18,2011-05-22,99.02,1.98,Completed
LRN00958,10093,Code of Conduct,Compliance,2011-05-16,2011-05-17,79.87,1.14,Completed
LRN00959,10093,Company Orientation,Orientation,2011-05-16,,,,In Progress
LRN00960,10093,HR Policies and Benefits,Orientation,2011-05-17,2011-05-23,95.99,2.28,Completed
LRN00961,10093,Communication and Collaboration Tools,Orientation,2011-05-18,,,,In Progress
LRN00962,10093,Department Process Training,Role-specific,2011-05-21,,,,Assigned
LRN00963,10093,Role Fundamentals,Role-specific,2011-05-23,2011-05-24,94.48,5.68,Completed
LRN00964,10093,Role Tools and Systems,Role-specific,2011-05-24,2011-06-06,100.0,4.18,Completed
LRN00965,10163,Information Security Awareness,Compliance,2011-04-05,2011-04-17,80.95,3.03,Completed
LRN00966,10163,Data Privacy and Protection,Compliance,2011-04-06,,,,Assigned
LRN00967,10163,Code of Conduct,Compliance,2011-04-04,,,,Assigned
LRN00968,10163,Workplace Safety,Compliance,2011-04-05,,,,Assigned
LRN00969,10163,Company Orientation,Orientation,2011-04-04,,,,Assigned
LRN00970,10163,HR Policies and Benefits,Orientation,2011-04-05,,,,Overdue
